,Year,Title,Altmetric
68,2012,"Specificity of and extensions to the disrupted connectivity model of autism. Reply to comments on ""Disrupted cortical connectivity theory as an explanatory model for autism spectrum disorders"".. Physics of Life Reviews. 9:3-4.  2012  10.1016/j.plrev.2012.01.002",
69,2012,Executive dysfunction in pediatric posterior fossa tumor survivors: A systematic literature review of neurocognitive deficits and interventions. Developmental Neuropsychology. 37:153-175.  2012  10.1080/87565641.2011.632462,
70,2012,Specialization and integration of brain responses to object recognition and location detection. Brain and Behavior. 2:6-14.  2012  10.1002/brb3.27,
71,2011,Disrupted cortical connectivity theory as an explanatory model for autism spectrum disorders. Physics of Life Reviews. 8:410-437.  2011  10.1016/j.plrev.2011.10.001,
72,2011,Probing the brain in autism using FMRI and diffusion tensor imaging.. Journal of Visualized Experiments. 2011,
73,2011,Brain mechanisms of perceiving tools and imagining tool use acts: A functional MRI study. Neuropsychologia. 49:1863-1869.  2011  10.1016/j.neuropsychologia.2011.03.010,
74,2011,A systems level analysis of the mirror neuron hypothesis and imitation impairments in autism spectrum disorders. Neuroscience and Biobehavioral Reviews. 35:894-902.  2011  10.1016/j.neubiorev.2010.10.007,
75,2011,Probing the brain in autism using fMRI and diffusion tensor imaging. Journal of Visualized Experiments. 2011  10.3791/3178,
76,2010,Cortical underconnectivity coupled with preserved visuospatial cognition in autism: Evidence from an fMRI study of an embedded figures task  2010  10.1002/aur.153,
77,2009,Atypical frontal-posterior synchronization of Theory of Mind regions in autism during mental state attribution. Social Neuroscience. 4:135-152.  2009  10.1080/17470910802198510,
78,2008,fMRI investigation of working memory for faces in autism: Visual coding and underconnectivity with frontal areas. Cerebral Cortex. 18:289-300.  2008  10.1093/cercor/bhm054,
79,2008,Theory of Mind disruption and recruitment of the right hemisphere during narrative comprehension in autism. Neuropsychologia. 46:269-280.  2008  10.1016/j.neuropsychologia.2007.07.018,
80,2007,Inhibitory Control in High-Functioning Autism: Decreased Activation and Underconnectivity in Inhibition Networks. Biological Psychiatry. 62:198-206.  2007  10.1016/j.biopsych.2006.08.004,
81,2007,Functional and anatomical cortical underconnectivity in autism: Evidence from an fmri study of an executive function task and corpus callosum morphometry. Cerebral Cortex. 17:951-961.  2007  10.1093/cercor/bhl006,
82,2007,A developmental study of the structural integrity of white matter in autism. NeuroReport. 18:23-27.  2007  10.1097/01.wnr.0000239965.21685.99,
83,2006,Functional connectivity in a baseline resting-state network in autism. NeuroReport. 17:1687-1690.  2006  10.1097/01.wnr.0000239956.45448.4c,
84,2006,Platform Session 4 (36-43). Annals of Neurology. 60:S139-S141.  2006  10.1002/ana.11480,
85,2006,Sentence comprehension in autism: Thinking in pictures with decreased functional connectivity  2006  10.1093/brain/awl164,
